63.6363636364,0.3,IR,fAHP,
72.7272727273,0.2,IR,fAHP,
45.4545454545,0.1,IR,fAHP,
27.2727272727,0.6,RMP,fAHP,
36.3636363636,0.5,RMP,fAHP,
63.6363636364,0.4,RMP,fAHP,
54.5454545455,0.3,RMP,fAHP,
36.3636363636,0.2,RMP,fAHP,
63.6363636364,0.1,RMP,fAHP,
45.4545454545,0.6,RH,fAHP,
45.4545454545,0.5,RH,fAHP,
45.4545454545,0.4,RH,fAHP,
63.6363636364,0.3,RH,fAHP,
63.6363636364,0.2,RH,fAHP,
54.5454545455,0.1,RH,fAHP,
54.5454545455,0.6,ST,fAHP,
54.5454545455,0.5,ST,fAHP,
72.7272727273,0.4,ST,fAHP,
45.4545454545,0.3,ST,fAHP,
63.6363636364,0.2,ST,fAHP,
63.6363636364,0.1,ST,fAHP,
36.3636363636,0.6,DTFS,fAHP,
36.3636363636,0.5,DTFS,fAHP,
27.2727272727,0.4,DTFS,fAHP,
36.3636363636,0.3,DTFS,fAHP,
36.3636363636,0.2,DTFS,fAHP,
54.5454545455,0.1,DTFS,fAHP,
54.5454545455,0.6,SA,fAHP,
54.5454545455,0.5,SA,fAHP,
36.3636363636,0.4,SA,fAHP,
45.4545454545,0.3,SA,fAHP,
54.5454545455,0.2,SA,fAHP,
45.4545454545,0.1,SA,fAHP,
45.4545454545,0.6,SD,fAHP,
63.6363636364,0.5,SD,fAHP,
36.3636363636,0.4,SD,fAHP,
54.5454545455,0.3,SD,fAHP,
45.4545454545,0.2,SD,fAHP,
27.2727272727,0.1,SD,fAHP,
45.4545454545,0.6,IR,RMP,RH,
54.5454545455,0.5,IR,RMP,RH,
27.2727272727,0.4,IR,RMP,RH,
54.5454545455,0.3,IR,RMP,RH,
36.3636363636,0.2,IR,RMP,RH,
36.3636363636,0.1,IR,RMP,RH,
36.3636363636,0.6,IR,RMP,ST,
63.6363636364,0.5,IR,RMP,ST,
63.6363636364,0.4,IR,RMP,ST,
54.5454545455,0.3,IR,RMP,ST,
27.2727272727,0.2,IR,RMP,ST,
36.3636363636,0.1,IR,RMP,ST,
54.5454545455,0.6,IR,RH,ST,
63.6363636364,0.5,IR,RH,ST,
27.2727272727,0.4,IR,RH,ST,
54.5454545455,0.3,IR,RH,ST,
54.5454545455,0.2,IR,RH,ST,
45.4545454545,0.1,IR,RH,ST,
63.6363636364,0.6,RMP,RH,ST,
27.2727272727,0.5,RMP,RH,ST,
36.3636363636,0.4,RMP,RH,ST,
27.2727272727,0.3,RMP,RH,ST,
27.2727272727,0.2,RMP,RH,ST,
45.4545454545,0.1,RMP,RH,ST,
36.3636363636,0.6,IR,RMP,DTFS,
63.6363636364,0.5,IR,RMP,DTFS,
36.3636363636,0.4,IR,RMP,DTFS,
45.4545454545,0.3,IR,RMP,DTFS,
45.4545454545,0.2,IR,RMP,DTFS,
63.6363636364,0.1,IR,RMP,DTFS,
36.3636363636,0.6,IR,RH,DTFS,
36.3636363636,0.5,IR,RH,DTFS,
54.5454545455,0.4,IR,RH,DTFS,
54.5454545455,0.3,IR,RH,DTFS,
63.6363636364,0.2,IR,RH,DTFS,
63.6363636364,0.1,IR,RH,DTFS,
54.5454545455,0.6,RMP,RH,DTFS,
54.5454545455,0.5,RMP,RH,DTFS,
45.4545454545,0.4,RMP,RH,DTFS,
63.6363636364,0.3,RMP,RH,DTFS,
54.5454545455,0.2,RMP,RH,DTFS,
45.4545454545,0.1,RMP,RH,DTFS,
81.8181818182,0.6,IR,ST,DTFS,
27.2727272727,0.5,IR,ST,DTFS,
54.5454545455,0.4,IR,ST,DTFS,
72.7272727273,0.3,IR,ST,DTFS,
45.4545454545,0.2,IR,ST,DTFS,
54.5454545455,0.1,IR,ST,DTFS,
63.6363636364,0.6,RMP,ST,DTFS,
18.1818181818,0.5,RMP,ST,DTFS,
45.4545454545,0.4,RMP,ST,DTFS,
54.5454545455,0.3,RMP,ST,DTFS,
18.1818181818,0.2,RMP,ST,DTFS,
45.4545454545,0.1,RMP,ST,DTFS,
63.6363636364,0.6,RH,ST,DTFS,
72.7272727273,0.5,RH,ST,DTFS,
90.9090909091,0.4,RH,ST,DTFS,
27.2727272727,0.3,RH,ST,DTFS,
27.2727272727,0.2,RH,ST,DTFS,
54.5454545455,0.1,RH,ST,DTFS,
63.6363636364,0.6,IR,RMP,SA,
72.7272727273,0.5,IR,RMP,SA,
45.4545454545,0.4,IR,RMP,SA,
72.7272727273,0.3,IR,RMP,SA,
63.6363636364,0.2,IR,RMP,SA,
72.7272727273,0.1,IR,RMP,SA,
54.5454545455,0.6,IR,RH,SA,
54.5454545455,0.5,IR,RH,SA,
72.7272727273,0.4,IR,RH,SA,
81.8181818182,0.3,IR,RH,SA,
72.7272727273,0.2,IR,RH,SA,
63.6363636364,0.1,IR,RH,SA,
54.5454545455,0.6,RMP,RH,SA,
63.6363636364,0.5,RMP,RH,SA,
63.6363636364,0.4,RMP,RH,SA,
72.7272727273,0.3,RMP,RH,SA,
36.3636363636,0.2,RMP,RH,SA,
45.4545454545,0.1,RMP,RH,SA,
72.7272727273,0.6,IR,ST,SA,
81.8181818182,0.5,IR,ST,SA,
36.3636363636,0.4,IR,ST,SA,
36.3636363636,0.3,IR,ST,SA,
45.4545454545,0.2,IR,ST,SA,
54.5454545455,0.1,IR,ST,SA,
18.1818181818,0.6,RMP,ST,SA,
