27.1438523163,86.2068965517,IR,RMP,,,,,SD,fAHP,75,151,226,,,,
25.078369906,86.2068965517,,RMP,,,,,SD,fAHP,123,61,184,,,,
23.2323232323,86.2068965517,IR,,,,,,SD,fAHP,124,9,133,,,,
23.6328805294,89.6551724138,,,,,,,SD,fAHP,251,16,267,,,,
27.1543016371,86.2068965517,IR,RMP,RH,ST,DTFS,SA,,fAHP,5,153,158,,,,
25.7680250784,86.2068965517,,RMP,RH,ST,DTFS,SA,,fAHP,17,88,105,,,,
28.8087774295,89.6551724138,IR,,RH,ST,DTFS,SA,,fAHP,209,210,419,,,,
28.5963079067,86.2068965517,,,RH,ST,DTFS,SA,,fAHP,38,202,240,,,,
26.0884709161,89.6551724138,IR,RMP,,ST,DTFS,SA,,fAHP,210,97,307,,,,
26.1198188784,86.2068965517,,RMP,,ST,DTFS,SA,,fAHP,39,99,138,,,,
26.2800417973,89.6551724138,IR,,,ST,DTFS,SA,,fAHP,221,106,327,,,,
25.5903866249,86.2068965517,,,,ST,DTFS,SA,,fAHP,76,81,157,,,,
29.0421455939,89.6551724138,IR,RMP,RH,,DTFS,SA,,fAHP,211,216,427,,,,
27.3841866945,86.2068965517,,RMP,RH,,DTFS,SA,,fAHP,40,171,211,,,,
28.3141762452,86.2068965517,IR,,RH,,DTFS,SA,,fAHP,41,196,237,,,,
25.4475792407,86.2068965517,,,RH,,DTFS,SA,,fAHP,77,74,151,,,,
27.2553117381,89.6551724138,IR,RMP,,,DTFS,SA,,fAHP,222,158,380,,,,
26.7363288053,86.2068965517,,RMP,,,DTFS,SA,,fAHP,78,127,205,,,,
27.258794845,89.6551724138,IR,,,,DTFS,SA,,fAHP,234,160,394,,,,
30.1950539882,86.2068965517,,,,,DTFS,SA,,fAHP,125,228,353,,,,
27.9310344828,86.2068965517,IR,RMP,RH,ST,,SA,,fAHP,18,188,206,,,,
26.3148728666,86.2068965517,,RMP,RH,ST,,SA,,fAHP,42,107,149,,,,
30.3901079763,89.6551724138,IR,,RH,ST,,SA,,fAHP,223,229,452,,,,
26.4855451062,86.2068965517,,,RH,ST,,SA,,fAHP,79,114,193,,,,
28.0599094392,86.2068965517,IR,RMP,,ST,,SA,,fAHP,43,191,234,,,,
25.6600487635,86.2068965517,,RMP,,ST,,SA,,fAHP,80,83,163,,,,
27.206548241,89.6551724138,IR,,,ST,,SA,,fAHP,235,155,390,,,,
23.8105189829,86.2068965517,,,,ST,,SA,,fAHP,126,18,144,,,,
35.9108324626,86.2068965517,IR,RMP,RH,,,SA,,fAHP,44,255,299,,,,
31.0484151864,86.2068965517,,RMP,RH,,,SA,,fAHP,81,231,312,,,,
33.9184952978,86.2068965517,IR,,RH,,,SA,,fAHP,82,251,333,,,,
26.955764542,86.2068965517,,,RH,,,SA,,fAHP,127,135,262,,,,
29.7770811564,86.2068965517,IR,RMP,,,,SA,,fAHP,83,226,309,,,,
24.7091605712,86.2068965517,,RMP,,,,SA,,fAHP,128,47,175,,,,
27.3319400906,86.2068965517,IR,,,,,SA,,fAHP,129,167,296,,,,
24.4723092999,86.2068965517,,,,,,SA,,fAHP,169,40,209,,,,
27.6036224312,89.6551724138,IR,RMP,RH,ST,DTFS,,,fAHP,212,176,388,,,,
24.3817485197,89.6551724138,,RMP,RH,ST,DTFS,,,fAHP,224,37,261,,,,
27.7742946708,86.2068965517,IR,,RH,ST,DTFS,,,fAHP,45,183,228,,,,
26.5238592825,86.2068965517,,,RH,ST,DTFS,,,fAHP,84,117,201,,,,
25.8446534309,89.6551724138,IR,RMP,,ST,DTFS,,,fAHP,225,91,316,,,,
23.8801811216,86.2068965517,,RMP,,ST,DTFS,,,fAHP,85,21,106,,,,
27.8822709857,89.6551724138,IR,,,ST,DTFS,,,fAHP,236,186,422,,,,
25.078369906,86.2068965517,,,,ST,DTFS,,,fAHP,130,62,192,,,,
27.6976663184,86.2068965517,IR,RMP,RH,,DTFS,,,fAHP,46,181,227,,,,
25.2246603971,89.6551724138,,RMP,RH,,DTFS,,,fAHP,237,66,303,,,,
28.6032741205,86.2068965517,IR,,RH,,DTFS,,,fAHP,86,203,289,,,,
25.1062347614,86.2068965517,,,RH,,DTFS,,,fAHP,131,64,195,,,,
27.056774643,89.6551724138,IR,RMP,,,DTFS,,,fAHP,238,140,378,,,,
23.3542319749,86.2068965517,,RMP,,,DTFS,,,fAHP,132,13,145,,,,
27.1856495995,86.2068965517,IR,,,,DTFS,,,fAHP,133,154,287,,,,
23.0337861373,86.2068965517,,,,,DTFS,,,fAHP,170,6,176,,,,
27.1229536747,89.6551724138,IR,RMP,RH,ST,,,,fAHP,226,148,374,,,,
27.2518286311,86.2068965517,,RMP,RH,ST,,,,fAHP,87,157,244,,,,
33.3751306165,89.6551724138,IR,,RH,ST,,,,fAHP,239,247,486,,,,
23.8174851968,86.2068965517,,,RH,ST,,,,fAHP,134,19,153,,,,
28.631138976,86.2068965517,IR,RMP,,ST,,,,fAHP,88,205,293,,,,
23.8662486939,86.2068965517,,RMP,,ST,,,,fAHP,135,20,155,,,,
25.2943225357,86.2068965517,IR,,,ST,,,,fAHP,136,68,204,,,,
23.9881574365,86.2068965517,,,,ST,,,,fAHP,171,25,196,,,,
33.7513061651,86.2068965517,IR,RMP,RH,,,,,fAHP,89,250,339,,,,
31.3235806339,86.2068965517,,RMP,RH,,,,,fAHP,137,233,370,,,,
31.3061650993,86.2068965517,IR,,RH,,,,,fAHP,138,232,370,,,,
23.1313131313,86.2068965517,,,RH,,,,,fAHP,172,7,179,,,,
33.0860327412,86.2068965517,IR,RMP,,,,,,fAHP,139,244,383,,,,
24.9703935911,86.2068965517,,RMP,,,,,,fAHP,173,57,230,,,,
21.7415534657,86.2068965517,IR,,,,,,,fAHP,174,1,175,,,,
23.9742250087,86.2068965517,,,,,,,,fAHP,193,22,215,,,,
27.2936259143,86.2068965517,IR,RMP,RH,ST,DTFS,SA,SD,,6,165,171,,,,
26.6248693835,86.2068965517,,RMP,RH,ST,DTFS,SA,SD,,19,122,141,,,,
27.6976663184,86.2068965517,IR,,RH,ST,DTFS,SA,SD,,20,180,200,,,,
27.3458725183,86.2068965517,,,RH,ST,DTFS,SA,SD,,47,168,215,,,,
26.6213862766,89.6551724138,IR,RMP,,ST,DTFS,SA,SD,,213,121,334,,,,
24.9773598049,86.2068965517,,RMP,,ST,DTFS,SA,SD,,48,59,107,,,,
26.9836293974,86.2068965517,IR,,,ST,DTFS,SA,SD,,49,137,186,,,,
25.4963427377,86.2068965517,,,,ST,DTFS,SA,SD,,90,78,168,,,,
27.9240682689,89.6551724138,IR,RMP,RH,,DTFS,SA,SD,,214,187,401,,,,
26.4576802508,86.2068965517,,RMP,RH,,DTFS,SA,SD,,50,112,162,,,,
27.6071055381,89.6551724138,IR,,RH,,DTFS,SA,SD,,227,177,404,,,,
26.2521769418,86.2068965517,,,RH,,DTFS,SA,SD,,91,104,195,,,,
26.3706025775,86.2068965517,IR,RMP,,,DTFS,SA,SD,,51,110,161,,,,
27.2657610589,86.2068965517,,RMP,,,DTFS,SA,SD,,92,161,253,,,,
28.1400208986,86.2068965517,IR,,,,DTFS,SA,SD,,93,194,287,,,,
29.2789968652,86.2068965517,,,,,DTFS,SA,SD,,140,219,359,,,,
28.631138976,86.2068965517,IR,RMP,RH,ST,,SA,SD,,21,204,225,,,,
