45.4545454545,1e-05,1,IR,
45.4545454545,1e-05,0.1,IR,
45.4545454545,1e-05,0.01,IR,
45.4545454545,1e-05,0.001,IR,
45.4545454545,1e-05,0.0001,IR,
45.4545454545,1e-05,1e-05,IR,
45.4545454545,1e-05,1e-06,IR,
45.4545454545,1e-05,1e-07,IR,
45.4545454545,1e-05,1e-08,IR,
45.4545454545,1e-05,1e-09,IR,
45.4545454545,1e-05,1e-10,IR,
45.4545454545,1e-05,1e-11,IR,
45.4545454545,1e-05,1e-12,IR,
45.4545454545,1e-05,1e-13,IR,
45.4545454545,1e-05,1e-14,IR,
45.4545454545,1e-05,1e-15,IR,
45.4545454545,0.0001,1,IR,
45.4545454545,0.0001,0.1,IR,
45.4545454545,0.0001,0.01,IR,
45.4545454545,0.0001,0.001,IR,
45.4545454545,0.0001,0.0001,IR,
45.4545454545,0.0001,1e-05,IR,
45.4545454545,0.0001,1e-06,IR,
45.4545454545,0.0001,1e-07,IR,
45.4545454545,0.0001,1e-08,IR,
45.4545454545,0.0001,1e-09,IR,
45.4545454545,0.0001,1e-10,IR,
45.4545454545,0.0001,1e-11,IR,
45.4545454545,0.0001,1e-12,IR,
45.4545454545,0.0001,1e-13,IR,
45.4545454545,0.0001,1e-14,IR,
45.4545454545,0.0001,1e-15,IR,
45.4545454545,0.001,1,IR,
45.4545454545,0.001,0.1,IR,
45.4545454545,0.001,0.01,IR,
45.4545454545,0.001,0.001,IR,
45.4545454545,0.001,0.0001,IR,
45.4545454545,0.001,1e-05,IR,
45.4545454545,0.001,1e-06,IR,
45.4545454545,0.001,1e-07,IR,
45.4545454545,0.001,1e-08,IR,
45.4545454545,0.001,1e-09,IR,
45.4545454545,0.001,1e-10,IR,
45.4545454545,0.001,1e-11,IR,
45.4545454545,0.001,1e-12,IR,
45.4545454545,0.001,1e-13,IR,
45.4545454545,0.001,1e-14,IR,
45.4545454545,0.001,1e-15,IR,
45.4545454545,0.01,1,IR,
45.4545454545,0.01,0.1,IR,
45.4545454545,0.01,0.01,IR,
45.4545454545,0.01,0.001,IR,
45.4545454545,0.01,0.0001,IR,
45.4545454545,0.01,1e-05,IR,
45.4545454545,0.01,1e-06,IR,
45.4545454545,0.01,1e-07,IR,
45.4545454545,0.01,1e-08,IR,
45.4545454545,0.01,1e-09,IR,
45.4545454545,0.01,1e-10,IR,
45.4545454545,0.01,1e-11,IR,
