MOYENNE;MAX;COMBINAISONS
53,05039788;62,06896552;"RH;DTFS;SA;SD;"
57,02917772;65,51724138;"ST;DTFS;SA;SD;"
48,54111406;58,62068966;"IR;RMP;RH;fAHP;"
51,45888594;62,06896552;"IR;RMP;ST;fAHP;"
51,19363395;65,51724138;"IR;RH;ST;fAHP;"
51,45888594;68,96551724;"RMP;RH;ST;fAHP;"
54,9071618;65,51724138;"IR;RMP;DTFS;fAHP;"
54,9071618;65,51724138;"IR;RH;DTFS;fAHP;"
46,15384615;62,06896552;"RMP;RH;DTFS;fAHP;"
49,60212202;51,72413793;"IR;ST;DTFS;fAHP;"
48,27586207;58,62068966;"RMP;ST;DTFS;fAHP;"
49,86737401;58,62068966;"RH;ST;DTFS;fAHP;"
56,23342175;68,96551724;"IR;RMP;SA;fAHP;"
51,45888594;58,62068966;"IR;RH;SA;fAHP;"
50,39787798;62,06896552;"RMP;RH;SA;fAHP;"
50,92838196;62,06896552;"IR;ST;SA;fAHP;"
48,54111406;55,17241379;"RMP;ST;SA;fAHP;"
44,29708223;58,62068966;"RH;ST;SA;fAHP;"
49,86737401;55,17241379;"IR;DTFS;SA;fAHP;"
50,39787798;58,62068966;"RMP;DTFS;SA;fAHP;"
50,92838196;65,51724138;"RH;DTFS;SA;fAHP;"
49,86737401;58,62068966;"ST;DTFS;SA;fAHP;"
52,25464191;58,62068966;"IR;RMP;SD;fAHP;"
52,5198939;65,51724138;"IR;RH;SD;fAHP;"
47,74535809;62,06896552;"RMP;RH;SD;fAHP;"
54,11140584;65,51724138;"IR;ST;SD;fAHP;"
48,01061008;51,72413793;"RMP;ST;SD;fAHP;"
49,07161804;65,51724138;"RH;ST;SD;fAHP;"
59,41644562;68,96551724;"IR;DTFS;SD;fAHP;"
35,27851459;68,96551724;"RMP;DTFS;SD;fAHP;"
51,19363395;55,17241379;"RH;DTFS;SD;fAHP;"
49,07161804;58,62068966;"ST;DTFS;SD;fAHP;"
55,17241379;65,51724138;"IR;SA;SD;fAHP;"
47,74535809;51,72413793;"RMP;SA;SD;fAHP;"
50,92838196;58,62068966;"RH;SA;SD;fAHP;"
42,17506631;72,4137931;"ST;SA;SD;fAHP;"
53,31564987;62,06896552;"DTFS;SA;SD;fAHP;"
50,66312997;65,51724138;"IR;RMP;RH;ST;DTFS;"
54,64190981;65,51724138;"IR;RMP;RH;ST;SA;"
52,25464191;72,4137931;"IR;RMP;RH;DTFS;SA;"
58,09018568;65,51724138;"IR;RMP;ST;DTFS;SA;"
57,02917772;72,4137931;"IR;RH;ST;DTFS;SA;"
52,78514589;65,51724138;"RMP;RH;ST;DTFS;SA;"
51,45888594;65,51724138;"IR;RMP;RH;ST;SD;"
57,29442971;68,96551724;"IR;RMP;RH;DTFS;SD;"
54,11140584;65,51724138;"IR;RMP;ST;DTFS;SD;"
58,09018568;62,06896552;"IR;RH;ST;DTFS;SD;"
50,13262599;68,96551724;"RMP;RH;ST;DTFS;SD;"
54,9071618;62,06896552;"IR;RMP;RH;SA;SD;"
54,37665782;65,51724138;"IR;RMP;ST;SA;SD;"
53,58090186;68,96551724;"IR;RH;ST;SA;SD;"
51,19363395;62,06896552;"RMP;RH;ST;SA;SD;"
60,21220159;68,96551724;"IR;RMP;DTFS;SA;SD;"
55,70291777;75,86206897;"IR;RH;DTFS;SA;SD;"
55,17241379;62,06896552;"RMP;RH;DTFS;SA;SD;"
50,13262599;62,06896552;"IR;ST;DTFS;SA;SD;"
42,4403183;55,17241379;"RMP;ST;DTFS;SA;SD;"
57,02917772;68,96551724;"RH;ST;DTFS;SA;SD;"
53,58090186;68,96551724;"IR;RMP;RH;ST;fAHP;"
54,37665782;65,51724138;"IR;RMP;RH;DTFS;fAHP;"
49,33687003;62,06896552;"IR;RMP;ST;DTFS;fAHP;"
49,60212202;55,17241379;"IR;RH;ST;DTFS;fAHP;"
48,80636605;58,62068966;"RMP;RH;ST;DTFS;fAHP;"
51,98938992;65,51724138;"IR;RMP;RH;SA;fAHP;"
54,37665782;65,51724138;"IR;RMP;ST;SA;fAHP;"
54,64190981;68,96551724;"IR;RH;ST;SA;fAHP;"
52,78514589;62,06896552;"RMP;RH;ST;SA;fAHP;"
59,15119363;65,51724138;"IR;RMP;DTFS;SA;fAHP;"
51,19363395;58,62068966;"IR;RH;DTFS;SA;fAHP;"
48,01061008;62,06896552;"RMP;RH;DTFS;SA;fAHP;"
61,27320955;75,86206897;"IR;ST;DTFS;SA;fAHP;"
47,4801061;58,62068966;"RMP;ST;DTFS;SA;fAHP;"
50,13262599;58,62068966;"RH;ST;DTFS;SA;fAHP;"
51,72413793;58,62068966;"IR;RMP;RH;SD;fAHP;"
51,19363395;62,06896552;"IR;RMP;ST;SD;fAHP;"
53,84615385;75,86206897;"IR;RH;ST;SD;fAHP;"
50,13262599;58,62068966;"RMP;RH;ST;SD;fAHP;"
56,76392573;62,06896552;"IR;RMP;DTFS;SD;fAHP;"
51,98938992;68,96551724;"IR;RH;DTFS;SD;fAHP;"
51,19363395;62,06896552;"RMP;RH;DTFS;SD;fAHP;"
56,76392573;65,51724138;"IR;ST;DTFS;SD;fAHP;"
47,21485411;58,62068966;"RMP;ST;DTFS;SD;fAHP;"
48,01061008;65,51724138;"RH;ST;DTFS;SD;fAHP;"
55,17241379;72,4137931;"IR;RMP;SA;SD;fAHP;"
58,88594164;72,4137931;"IR;RH;SA;SD;fAHP;"
55,17241379;62,06896552;"RMP;RH;SA;SD;fAHP;"
54,64190981;68,96551724;"IR;ST;SA;SD;fAHP;"
47,21485411;62,06896552;"RMP;ST;SA;SD;fAHP;"
53,58090186;65,51724138;"RH;ST;SA;SD;fAHP;"
54,11140584;65,51724138;"IR;DTFS;SA;SD;fAHP;"
50,39787798;58,62068966;"RMP;DTFS;SA;SD;fAHP;"
54,11140584;72,4137931;"RH;DTFS;SA;SD;fAHP;"
43,50132626;58,62068966;"ST;DTFS;SA;SD;fAHP;"
51,98938992;55,17241379;"IR;RMP;RH;ST;DTFS;SA;"
53,84615385;62,06896552;"IR;RMP;RH;ST;DTFS;SD;"
55,17241379;68,96551724;"IR;RMP;RH;ST;SA;SD;"
55,96816976;65,51724138;"IR;RMP;RH;DTFS;SA;SD;"
54,64190981;68,96551724;"IR;RMP;ST;DTFS;SA;SD;"
55,17241379;68,96551724;"IR;RH;ST;DTFS;SA;SD;"
54,11140584;65,51724138;"RMP;RH;ST;DTFS;SA;SD;"
46,15384615;58,62068966;"IR;RMP;RH;ST;DTFS;fAHP;"
52,5198939;65,51724138;"IR;RMP;RH;ST;SA;fAHP;"
53,58090186;58,62068966;"IR;RMP;RH;DTFS;SA;fAHP;"
50,13262599;62,06896552;"IR;RMP;ST;DTFS;SA;fAHP;"
55,43766578;65,51724138;"IR;RH;ST;DTFS;SA;fAHP;"
51,45888594;62,06896552;"RMP;RH;ST;DTFS;SA;fAHP;"
48,54111406;62,06896552;"IR;RMP;RH;ST;SD;fAHP;"
53,84615385;58,62068966;"IR;RMP;RH;DTFS;SD;fAHP;"
62,33421751;72,4137931;"IR;RMP;ST;DTFS;SD;fAHP;"
54,11140584;72,4137931;"IR;RH;ST;DTFS;SD;fAHP;"
52,25464191;58,62068966;"RMP;RH;ST;DTFS;SD;fAHP;"
50,66312997;68,96551724;"IR;RMP;RH;SA;SD;fAHP;"
