13.7931034483,1e-05,1,0,IR,
13.7931034483,1e-05,0.1,0,IR,
13.7931034483,1e-05,0.01,0,IR,
13.7931034483,1e-05,0.001,0,IR,
13.7931034483,1e-05,0.0001,0,IR,
13.7931034483,1e-05,1e-05,0,IR,
13.7931034483,1e-05,1e-06,0,IR,
13.7931034483,1e-05,1e-07,0,IR,
13.7931034483,1e-05,1e-08,0,IR,
13.7931034483,1e-05,1e-09,0,IR,
13.7931034483,0.0001,1,0,IR,
13.7931034483,0.0001,0.1,0,IR,
13.7931034483,0.0001,0.01,0,IR,
13.7931034483,0.0001,0.001,0,IR,
13.7931034483,0.0001,0.0001,0,IR,
13.7931034483,0.0001,1e-05,0,IR,
13.7931034483,0.0001,1e-06,0,IR,
13.7931034483,0.0001,1e-07,0,IR,
13.7931034483,0.0001,1e-08,0,IR,
13.7931034483,0.0001,1e-09,0,IR,
13.7931034483,0.001,1,0,IR,
13.7931034483,0.001,0.1,0,IR,
13.7931034483,0.001,0.01,0,IR,
13.7931034483,0.001,0.001,0,IR,
13.7931034483,0.001,0.0001,0,IR,
13.7931034483,0.001,1e-05,0,IR,
24.1379310345,0.001,1e-06,0,IR,
13.7931034483,0.001,1e-07,0,IR,
13.7931034483,0.001,1e-08,0,IR,
13.7931034483,0.001,1e-09,0,IR,
13.7931034483,0.01,1,0,IR,
13.7931034483,0.01,0.1,0,IR,
24.1379310345,0.01,0.01,0,IR,
13.7931034483,0.01,0.001,0,IR,
13.7931034483,0.01,0.0001,0,IR,
13.7931034483,0.01,1e-05,0,IR,
13.7931034483,0.01,1e-06,0,IR,
13.7931034483,0.01,1e-07,0,IR,
17.2413793103,0.01,1e-08,0,IR,
13.7931034483,0.01,1e-09,0,IR,
13.7931034483,0.1,1,0,IR,
13.7931034483,0.1,0.1,0,IR,
17.2413793103,0.1,0.01,0,IR,
13.7931034483,0.1,0.001,0,IR,
13.7931034483,0.1,0.0001,0,IR,
13.7931034483,0.1,1e-05,0,IR,
13.7931034483,0.1,1e-06,0,IR,
13.7931034483,0.1,1e-07,0,IR,
13.7931034483,0.1,1e-08,0,IR,
13.7931034483,0.1,1e-09,0,IR,
13.7931034483,1.0,1,0,IR,
13.7931034483,1.0,0.1,0,IR,
13.7931034483,1.0,0.01,0,IR,
13.7931034483,1.0,0.001,0,IR,
13.7931034483,1.0,0.0001,0,IR,
13.7931034483,1.0,1e-05,0,IR,
13.7931034483,1.0,1e-06,0,IR,
13.7931034483,1.0,1e-07,0,IR,
13.7931034483,1.0,1e-08,0,IR,
17.2413793103,1.0,1e-09,0,IR,
13.7931034483,10.0,1,0,IR,
13.7931034483,10.0,0.1,0,IR,
13.7931034483,10.0,0.01,0,IR,
20.6896551724,10.0,0.001,0,IR,
24.1379310345,10.0,0.0001,0,IR,
17.2413793103,10.0,1e-05,0,IR,
