49.4252873563,0.5,SD,fAHP,
47.1264367816,0.4,SD,fAHP,
42.5287356322,0.3,SD,fAHP,
52.8735632184,0.2,SD,fAHP,
55.1724137931,0.1,SD,fAHP,
49.4252873563,0.5,IR,RMP,RH,
44.8275862069,0.4,IR,RMP,RH,
55.1724137931,0.3,IR,RMP,RH,
50.5747126437,0.2,IR,RMP,RH,
49.4252873563,0.1,IR,RMP,RH,
59.7701149425,0.5,IR,RMP,ST,
56.3218390805,0.4,IR,RMP,ST,
42.5287356322,0.3,IR,RMP,ST,
40.2298850575,0.2,IR,RMP,ST,
47.1264367816,0.1,IR,RMP,ST,
44.8275862069,0.5,IR,RH,ST,
54.0229885057,0.4,IR,RH,ST,
44.8275862069,0.3,IR,RH,ST,
52.8735632184,0.2,IR,RH,ST,
50.5747126437,0.1,IR,RH,ST,
64.367816092,0.5,RMP,RH,ST,
37.9310344828,0.4,RMP,RH,ST,
37.9310344828,0.3,RMP,RH,ST,
40.2298850575,0.2,RMP,RH,ST,
37.9310344828,0.1,RMP,RH,ST,
55.1724137931,0.5,IR,RMP,DTFS,
58.6206896552,0.4,IR,RMP,DTFS,
41.3793103448,0.3,IR,RMP,DTFS,
44.8275862069,0.2,IR,RMP,DTFS,
51.724137931,0.1,IR,RMP,DTFS,
55.1724137931,0.5,IR,RH,DTFS,
54.0229885057,0.4,IR,RH,DTFS,
62.0689655172,0.3,IR,RH,DTFS,
40.2298850575,0.2,IR,RH,DTFS,
59.7701149425,0.1,IR,RH,DTFS,
57.4712643678,0.5,RMP,RH,DTFS,
47.1264367816,0.4,RMP,RH,DTFS,
48.275862069,0.3,RMP,RH,DTFS,
40.2298850575,0.2,RMP,RH,DTFS,
41.3793103448,0.1,RMP,RH,DTFS,
49.4252873563,0.5,IR,ST,DTFS,
54.0229885057,0.4,IR,ST,DTFS,
54.0229885057,0.3,IR,ST,DTFS,
57.4712643678,0.2,IR,ST,DTFS,
51.724137931,0.1,IR,ST,DTFS,
42.5287356322,0.5,RMP,ST,DTFS,
48.275862069,0.4,RMP,ST,DTFS,
44.8275862069,0.3,RMP,ST,DTFS,
42.5287356322,0.2,RMP,ST,DTFS,
48.275862069,0.1,RMP,ST,DTFS,
50.5747126437,0.5,RH,ST,DTFS,
52.8735632184,0.4,RH,ST,DTFS,
49.4252873563,0.3,RH,ST,DTFS,
44.8275862069,0.2,RH,ST,DTFS,
60.9195402299,0.1,RH,ST,DTFS,
55.1724137931,0.5,IR,RMP,SA,
41.3793103448,0.4,IR,RMP,SA,
58.6206896552,0.3,IR,RMP,SA,
43.6781609195,0.2,IR,RMP,SA,
45.9770114943,0.1,IR,RMP,SA,
41.3793103448,0.5,IR,RH,SA,
45.9770114943,0.4,IR,RH,SA,
49.4252873563,0.3,IR,RH,SA,
47.1264367816,0.2,IR,RH,SA,
50.5747126437,0.1,IR,RH,SA,
47.1264367816,0.5,RMP,RH,SA,
48.275862069,0.4,RMP,RH,SA,
48.275862069,0.3,RMP,RH,SA,
47.1264367816,0.2,RMP,RH,SA,
50.5747126437,0.1,RMP,RH,SA,
50.5747126437,0.5,IR,ST,SA,
49.4252873563,0.4,IR,ST,SA,
47.1264367816,0.3,IR,ST,SA,
43.6781609195,0.2,IR,ST,SA,
45.9770114943,0.1,IR,ST,SA,
55.1724137931,0.5,RMP,ST,SA,
39.0804597701,0.4,RMP,ST,SA,
57.4712643678,0.3,RMP,ST,SA,
45.9770114943,0.2,RMP,ST,SA,
58.6206896552,0.1,RMP,ST,SA,
59.7701149425,0.5,RH,ST,SA,
56.3218390805,0.4,RH,ST,SA,
43.6781609195,0.3,RH,ST,SA,
48.275862069,0.2,RH,ST,SA,
44.8275862069,0.1,RH,ST,SA,
56.3218390805,0.5,IR,DTFS,SA,
44.8275862069,0.4,IR,DTFS,SA,
52.8735632184,0.3,IR,DTFS,SA,
51.724137931,0.2,IR,DTFS,SA,
49.4252873563,0.1,IR,DTFS,SA,
49.4252873563,0.5,RMP,DTFS,SA,
48.275862069,0.4,RMP,DTFS,SA,
47.1264367816,0.3,RMP,DTFS,SA,
55.1724137931,0.2,RMP,DTFS,SA,
48.275862069,0.1,RMP,DTFS,SA,
