62.0689655172,0.5,IR,
48.275862069,0.4,IR,
48.275862069,0.3,IR,
41.3793103448,0.2,IR,
46.5517241379,0.1,IR,
43.1034482759,0.5,RMP,
43.1034482759,0.4,RMP,
46.5517241379,0.3,RMP,
50.0,0.2,RMP,
41.3793103448,0.1,RMP,
48.275862069,0.5,RH,
50.0,0.4,RH,
56.8965517241,0.3,RH,
46.5517241379,0.2,RH,
51.724137931,0.1,RH,
51.724137931,0.5,ST,
43.1034482759,0.4,ST,
51.724137931,0.3,ST,
51.724137931,0.2,ST,
60.3448275862,0.1,ST,
46.5517241379,0.5,DTFS,
46.5517241379,0.4,DTFS,
46.5517241379,0.3,DTFS,
46.5517241379,0.2,DTFS,
51.724137931,0.1,DTFS,
51.724137931,0.5,SA,
53.4482758621,0.4,SA,
50.0,0.3,SA,
48.275862069,0.2,SA,
46.5517241379,0.1,SA,
50.0,0.5,SD,
50.0,0.4,SD,
53.4482758621,0.3,SD,
51.724137931,0.2,SD,
51.724137931,0.1,SD,
55.1724137931,0.5,fAHP,
53.4482758621,0.4,fAHP,
50.0,0.3,fAHP,
44.8275862069,0.2,fAHP,
48.275862069,0.1,fAHP,
51.724137931,0.5,IR,RMP,
48.275862069,0.4,IR,RMP,
43.1034482759,0.3,IR,RMP,
46.5517241379,0.2,IR,RMP,
44.8275862069,0.1,IR,RMP,
62.0689655172,0.5,IR,RH,
51.724137931,0.4,IR,RH,
50.0,0.3,IR,RH,
46.5517241379,0.2,IR,RH,
53.4482758621,0.1,IR,RH,
55.1724137931,0.5,RMP,RH,
46.5517241379,0.4,RMP,RH,
56.8965517241,0.3,RMP,RH,
58.6206896552,0.2,RMP,RH,
46.5517241379,0.1,RMP,RH,
48.275862069,0.5,IR,ST,
44.8275862069,0.4,IR,ST,
37.9310344828,0.3,IR,ST,
55.1724137931,0.2,IR,ST,
53.4482758621,0.1,IR,ST,
44.8275862069,0.5,RMP,ST,
50.0,0.4,RMP,ST,
43.1034482759,0.3,RMP,ST,
44.8275862069,0.2,RMP,ST,
53.4482758621,0.1,RMP,ST,
58.6206896552,0.5,RH,ST,
48.275862069,0.4,RH,ST,
48.275862069,0.3,RH,ST,
44.8275862069,0.2,RH,ST,
55.1724137931,0.1,RH,ST,
58.6206896552,0.5,IR,DTFS,
41.3793103448,0.4,IR,DTFS,
